År,S,RV,KF,CD,DR,SF,DKP,FK,DF,KRF,V,VS,FP,EL
1973,46,20,16,14,5,11,6,NA,NA,7,22,0,28,NA
1975,53,13,10,4,0,9,7,NA,NA,9,42,4,24,NA
1977,65,6,15,11,6,7,7,NA,NA,6,22,5,26,NA
1979,68,10,22,6,5,11,0,NA,NA,5,22,6,20,NA
1981,59,9,26,15,0,21,0,NA,NA,4,20,5,16,NA
1984,56,10,42,8,0,21,0,NA,NA,4,20,5,6,NA
1987,54,11,38,9,0,27,0,4,NA,4,19,0,9,NA
1988,55,10,35,9,NA,24,0,0,NA,4,22,0,16,NA
1990,69,7,30,9,0,15,NA,0,NA,4,29,NA,12,0
1994,62,8,27,5,0,5,NA,NA,NA,0,42,NA,11,6
1998,63,7,16,16,0,13,NA,NA,13,4,42,NA,4,5
2001,52,9,16,16,5,12,NA,NA,22,4,56,NA,0,4
